id,lane,organization,opportunity,route_class,assets,contribution_view,status,execution_state,execution_manifest,deadline,gate,shared_evidence_family,mutual_exclusion_group,parent_route,source_state,source,origin
job-microsoft-ai,JOB,Microsoft Taiwan,AI / Software Engineering lanes,JOB,Cite|YZU|Citation Engine,,WATCH,RESEARCH_ONLY,,ROLLING,current matching requisition,,,,UNDISCLOSED_ROLE_COMP,https://jobs.careers.microsoft.com/global/en/search?q=AI&lc=Taiwan,docs/postgrad/postgrad-market.csv
job-gogolook-data-research,JOB,Gogolook,Data Research Engineer,JOB,Large Data|Research Papers|Python|Finance,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,total compensation,,,,UNDISCLOSED,https://jobs.lever.co/Gogolook,docs/postgrad/postgrad-market.csv
job-gogolook-ml,JOB,Gogolook,Machine Learning Engineer,JOB,Cite|AI Systems|Python,,PRICE_DISCOVERY,RESEARCH_ONLY,,ROLLING,degree/seniority details,,,,UNDISCLOSED,https://jobs.lever.co/Gogolook,docs/postgrad/postgrad-market.csv
job-gogolook-credit,JOB,Gogolook,Credit Risk Data Analyst,JOB,Finance|Data|Research,,VERIFY,RESEARCH_ONLY,,ROLLING,production credit-risk experience requirement,,,,UNDISCLOSED,https://jobs.lever.co/Gogolook,docs/postgrad/postgrad-market.csv | master override: Finance education alone is not production credit-risk experience.
job-datamunger-ai-app,JOB,DataMunger / 數邁科技,AI Application Engineer,JOB,Cite|YZU|Citation Engine|ETL,,FIRE_NOW,RESEARCH_ONLY,,ROLLING,3+ years requirement,,,,VERIFIED_PUBLISHED,https://www.104.com.tw/company/1a2x6bnp43,docs/postgrad/postgrad-market.csv
job-berry-senior-ml,JOB,Berry AI / 華捷智能,Senior Machine Learning Engineer,JOB,Hardware Splicer|CV|Edge AI,,STRETCH_FIRE,RESEARCH_ONLY,,ROLLING,senior title vs no-exp wording,,,,VERIFIED_COMPANY_BOARD,https://www.104.com.tw/company/1a2x6bl1n1,docs/postgrad/postgrad-market.csv
job-berry-fullstack,JOB,Berry AI / 華捷智能,Senior Full-Stack Engineer,JOB,YZU|Data Infrastructure|Deployment,,SELECTIVE,RESEARCH_ONLY,,ROLLING,full-stack depth,,,,VERIFIED_PUBLISHED,https://www.104.com.tw/company/1a2x6bl1n1,docs/postgrad/postgrad-market.csv
job-wanda-ml,JOB,WANDA AI,Machine Learning Engineer,JOB,AI Systems|CV|Python,,WATCH,RESEARCH_ONLY,,ROLLING,current requisition,,,,PREVIOUS_RESEARCH_VERIFY_CURRENT,,docs/postgrad/postgrad-market.csv
job-btse-ds,JOB,BTSE,Data Scientist / Senior Data Scientist,JOB,Finance|Crypto|Data|Python,,WATCH,RESEARCH_ONLY,,ROLLING,current requisition and seniority,,,,UNDISCLOSED,,docs/postgrad/postgrad-market.csv
job-mediatek-ai-app,JOB,MediaTek,AI Application Engineer,JOB,Cite|YZU|Agents|Deployment,,PRICE_DISCOVERY,RESEARCH_ONLY,,ROLLING,2+ years and role-specific degree,,,,UNDISCLOSED,https://careers.mediatek.com,docs/postgrad/postgrad-market.csv
job-mediatek-cv,JOB,MediaTek,Machine Learning / Computer Vision Algorithm Engineer,JOB,Hardware Splicer|CV,,STRETCH_FIRE,RESEARCH_ONLY,,ROLLING,formal ML/CV depth,,,,UNDISCLOSED,https://careers.mediatek.com,docs/postgrad/postgrad-market.csv
job-mediatek-ai-eda,JOB,MediaTek,AI Coding Agent / AI for EDA,JOB,Cite|Hardware Splicer|Agents,,WATCH,RESEARCH_ONLY,,ROLLING,EE/CS degree language,,,,UNDISCLOSED,https://careers.mediatek.com,docs/postgrad/postgrad-market.csv
job-synopsys-eda,JOB,Synopsys Taiwan,R&D / EDA / ML Software roles,JOB,Hardware Splicer|Python|Electronics,,WATCH,RESEARCH_ONLY,,ROLLING,EE/CS/C++ filters,,,,UNDISCLOSED_ROLE_COMP,https://careers.synopsys.com/search-jobs,docs/postgrad/postgrad-market.csv
job-tsmc-ai,JOB,TSMC,AI for Manufacturing / AI Infrastructure lanes,JOB,Hardware Splicer|Data Infrastructure|AI,,WATCH,RESEARCH_ONLY,,ROLLING,current requisition and degree filters,,,,UNDISCLOSED_ROLE_COMP,https://ro.careers.tsmc.com,docs/postgrad/postgrad-market.csv
job-trend-ai,JOB,Trend Micro AI Lab,AI Engineer / Data Scientist,JOB,Cite|Evaluation|AI Systems,,WATCH,RESEARCH_ONLY,,ROLLING,4+ years on some roles,,,,UNDISCLOSED,https://trendmicro.wd3.myworkdayjobs.com/External,docs/postgrad/postgrad-market.csv
job-appier-ds,JOB,Appier,Data Scientist / Analytics,JOB,Data|AI|Research,,WATCH,RESEARCH_ONLY,,ROLLING,5+ years on observed role,,,,UNDISCLOSED,https://www.appier.com/en/careers,docs/postgrad/postgrad-market.csv
job-ikala-ai,JOB,iKala,AI Lab ML / Applied AI,JOB,Cite|AI Systems|Data,,WATCH,RESEARCH_ONLY,,ROLLING,current seniority,,,,UNDISCLOSED,https://ikala.tv/careers,docs/postgrad/postgrad-market.csv
job-delta-ai,JOB,Delta Electronics,AI Scientist / ML validation,JOB,Hardware Splicer|AI Systems,,WATCH,RESEARCH_ONLY,,ROLLING,current requisition,,,,UNDISCLOSED,https://careers.deltaww.com,docs/postgrad/postgrad-market.csv
job-jane-street-hk,JOB,Jane Street,Quantitative Researcher,JOB,Finance|Sharpe|Research|Python,,STRETCH_FIRE,RESEARCH_ONLY,,ROLLING,extreme quant interview bar,,,,UNDISCLOSED_ROLE_COMP,https://www.janestreet.com/join-jane-street/open-roles/,docs/postgrad/postgrad-market.csv
job-qrt-grad,JOB,Qube Research & Technologies,Graduate Quant Research / Trading,JOB,Finance|Sharpe|Python|Research,,STRETCH_FIRE,RESEARCH_ONLY,,ROLLING,quant interview and visa,,,,UNDISCLOSED_ROLE_COMP,https://www.qube-rt.com/careers/,docs/postgrad/postgrad-market.csv
job-optiver-apac,JOB,Optiver,APAC Graduate Quant / Trading,JOB,Finance|Sharpe|Quant,,WATCH,RESEARCH_ONLY,,SEASONAL,current cycle and visa,,,,UNDISCLOSED_ROLE_COMP,https://optiver.com/working-at-optiver/career-opportunities/,docs/postgrad/postgrad-market.csv
job-citadel-apac,JOB,Citadel / Citadel Securities,APAC Quant Research lanes,JOB,Finance|Sharpe|Research,,WATCH,RESEARCH_ONLY,,ROLLING,current matching requisition,,,,UNDISCLOSED_ROLE_COMP,https://www.citadel.com/careers/open-opportunities/,docs/postgrad/postgrad-market.csv
job-imc-apac,JOB,IMC,APAC Graduate Quant / Research,JOB,Finance|Sharpe|Python,,WATCH,RESEARCH_ONLY,,SEASONAL,current cycle and location,,,,UNDISCLOSED_ROLE_COMP,https://www.imc.com/ap/careers/jobs/,docs/postgrad/postgrad-market.csv
phd-usn-audit-ai,PhD,University of South-Eastern Norway,AI transformation of auditing sector,PhD,Finance|Policy Lab|Citation Engine|AI Systems,,FIRE_SOON,RESEARCH_ONLY,,2026-10-16,outside-work/IP terms,,,,VERIFY_EXACT_POSTING,https://www.usn.no/english/vacancies/,docs/postgrad/postgrad-market.csv
phd-nhh-main-2027,PhD,NHH Norwegian School of Economics,Main 2027 PhD admission round,PhD,Finance|Research|AI Systems,,WATCH,RESEARCH_ONLY,,2027-01-15,November vacancy set,,,,VERIFIED_PROGRAM,https://www.nhh.no/en/study-programmes/phd-programme-at-nhh/admission/,docs/postgrad/postgrad-market.csv
phd-nycu-iais,PhD,NYCU IAIS,Institute of Intelligent Systems PhD,PhD,Cite|YZU|Citation Engine|Hardware Splicer,,HIGH_PRIORITY_WATCH,RESEARCH_ONLY,,CALL_NOT_YET_VERIFIED,116 admission dates + founder compensation + pre-existing IP,,,,VERIFIED_SCHOLARSHIP_RULES,https://iais.nycu.edu.tw/en/scholarship.html,docs/postgrad/postgrad-market.csv
phd-nycu-imf,PhD,NYCU,Information Management & Finance / Finance PhD,PhD,Finance|Sharpe|Research Papers,,WATCH,RESEARCH_ONLY,,CYCLE_NOT_YET_VERIFIED,admission/funding specifics,,,,UNKNOWN,,docs/postgrad/postgrad-market.csv
phd-ntu-im,PhD,National Taiwan University,Information Management PhD,PhD,Cite|YZU|Citation Engine|Research Papers,,WATCH,RESEARCH_ONLY,,CYCLE_NOT_YET_VERIFIED,116 call + funding,,,,VERIFIED_PROGRAM,https://management.ntu.edu.tw/IM/admission/phd,docs/postgrad/postgrad-market.csv
phd-nccu-mis,PhD,National Chengchi University,MIS PhD,PhD,Cite|YZU|Citation Engine|Data,,HIGH_PRIORITY_WATCH,RESEARCH_ONLY,,CYCLE_NOT_YET_VERIFIED,116 call + funding,,,,UNKNOWN,https://mis2.nccu.edu.tw,docs/postgrad/postgrad-market.csv
phd-ncu-finance,PhD,National Central University,Finance PhD,PhD,Finance|Sharpe|Papers,,WATCH,RESEARCH_ONLY,,CYCLE_NOT_YET_VERIFIED,116 call + funding,,,,UNKNOWN,,docs/postgrad/postgrad-market.csv
phd-nthu-tm,PhD,National Tsing Hua University,Technology Management PhD,PhD,Policy Lab|AI Systems|Technology Management,,WATCH,RESEARCH_ONLY,,CYCLE_NOT_YET_VERIFIED,116 call/funding,,,,UNKNOWN,,docs/postgrad/postgrad-market.csv
