id,parent,track,mode,asset,status,deadline,value_original,smallest_cash_outcome,prep_hours,gate,source
innoserve-taipei-2026,InnoServe,Taipei Civic Application,APPLY,Public-Good|Policy Lab|Nocturnal,FIRE_AFTER_GATE,2026-10-05,NT$5k-50k,NT$5k,2-5,Taipei open-data use,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-gss-2026,InnoServe,GSS Smart Field,APPLY,Cite|YZU,VERIFY,2026-10-05,NT$2k-60k,NT$2k,4-8,GSS integration cost,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-amd-2026,InnoServe,AMD AI Agent,APPLY,Cite|YZU|Citation Engine,FIRE_AFTER_GATE,2026-10-05,NT$5k-50k,NT$5k,2-4,category cap,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-gemini-2026,InnoServe,Google Gemini Ecosystem,APPLY,Cite|YZU,VERIFY,2026-10-05,NT$10k-70k,NT$10k,4-8,integration cost,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-ms-2026,InnoServe,Microsoft AI & Data,APPLY,YZU|Cite,VERIFY,2026-10-05,NT$10k-70k,NT$10k,4-8,Microsoft-stack adaptation,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-health-2026,InnoServe,Smart Health,APPLY,Public-Good|YZU,VERIFY,2026-10-05,NT$10k-100k,NT$10k,4-8,genuine health use-case,https://innoserve.tca.org.tw/Rules/Detail?category=College
innoserve-tourism-2026,InnoServe,Tourism Data,APPLY,Public-Good,HOLD,2026-10-05,NT$10k-120k,NT$10k,5-10,weak fit + PoC requirement,https://innoserve.tca.org.tw/Rules/Detail?category=College
ncue-ai-2026,National Industry-Academia Innovation,AI & Applications,APPLY,Hardware Splicer|Cite|YZU|Public-Good,FIRE_AFTER_GATE,2026-10-22,NT$2k-50k,NT$2k,2-4,student eligibility,https://eedept.ncue.edu.tw/innovation2026/intro.html
ncue-info-2026,National Industry-Academia Innovation,Information & Electronics,APPLY,Hardware Splicer|Citation Engine|Cite,FIRE_AFTER_GATE,2026-10-22,NT$2k-50k,NT$2k,2-4,student eligibility,https://eedept.ncue.edu.tw/innovation2026/intro.html
ncue-mech-2026,National Industry-Academia Innovation,Mechanical & Automation,APPLY,Hardware Splicer,FIRE_AFTER_GATE,2026-10-22,NT$2k-50k,NT$2k,2-4,student eligibility,https://eedept.ncue.edu.tw/innovation2026/intro.html
ncue-green-2026,National Industry-Academia Innovation,Green Technology,APPLY,Public-Good|Policy Lab,VERIFY,2026-10-22,NT$2k-50k,NT$2k,3-5,substantive green-tech fit,https://eedept.ncue.edu.tw/innovation2026/intro.html
interledger-local-2026,Interledger Foundation,Local Impact Mini-Grant,APPLY,Policy Lab|Public-Good,FIRE_IF_FIT,2026-11-11,US$500-3000,US$500,2-4,open-payments/financial-access fit,https://interledger.org/grant/local-impact
legaltech-app-2026,LegalTech & Computer Audit,Applications,APPLY,Policy Lab|Nocturnal,VERIFY,2026-11-30,NT$5k-20k,NT$5k,4-8,source anomaly + student team,https://ec.ccu.edu.tw/p/406-1149-87925%2Cr4399.php?Lang=zh-tw
legaltech-tech-2026,LegalTech & Computer Audit,Technical,APPLY,Citation Engine|Policy Lab,VERIFY,2026-11-30,NT$5k-20k,NT$5k,5-10,technical reuse/no-new-product,https://ec.ccu.edu.tw/p/406-1149-87925%2Cr4399.php?Lang=zh-tw
asyncapi-medium,AsyncAPI,Monthly Medium Microgrant,SELL,Engineering|Commons|Citation Engine,ROLLING,monthly,US$200,US$200,4-12,suitable funded issue available,https://www.asyncapi.com/docs/community/010-contribution-guidelines/microgrant-program
asyncapi-advanced,AsyncAPI,Monthly Advanced Microgrant,SELL,Engineering|Commons|Citation Engine,ROLLING,monthly,US$400,US$400,8-20,suitable funded issue available,https://www.asyncapi.com/docs/community/010-contribution-guidelines/microgrant-program
interledger-arazzo,Interledger Foundation,Open Payments SDK Arazzo Documentation,SELL,Commons|Citation Engine,ROLLING,until budget exhausted,up to US$1000,up to US$1000,4-12,spec expertise fit,https://interledger.org/grant/open-payments-sdk
interledger-rfc9421,Interledger Foundation,HTTP Message Signatures Library,SELL,Citation Engine|Commons,VERIFY,until budget exhausted,up to US$5000/language,up to US$5000,high,implementation fit,https://interledger.org/grant/open-payments-sdk
opire-live,Opire,Live OSS Bounties,SELL,Engineering|Commons|Citation Engine,ROLLING,rolling,varies,varies,varies,skill + payout/hour threshold,https://opire.dev/home
projectdiscovery-oss,ProjectDiscovery,OSS Bounty Program,SELL,Nocturnal|Citation Engine,ROLLING,rolling,varies,varies,varies,demonstrated security skill,https://projectdiscovery.io/blog/announcing-the-projectdiscovery-oss-bounty-program
emergent-citation,Emergent Ventures,,APPLY,Citation Engine,ROLLING,rolling,variable,variable,1-3,credible concise thesis,https://www.mercatus.org/emergent-ventures
emergent-commons,Emergent Ventures,,APPLY,Commons,ROLLING,rolling,variable,variable,1-3,credible concise thesis,https://www.mercatus.org/emergent-ventures
openai-researcher,OpenAI,Researcher Access,OFFSET,Research Papers|Policy Lab|Citation Engine|Cite,FIRE,rolling,up to US$1000 API credits,actual displaced API spend,1-2,research affiliation/scope,https://grants.openai.com/prog/openai_researcher_access_program/
codex-oss-citation,OpenAI,Codex for Open Source,OFFSET,Citation Engine,FIRE_IF_ELIGIBLE,rolling,6 months ChatGPT Pro + API credits,actual displaced subscription/API spend,0.5-1.5,core maintainer + public repo,https://openai.com/form/codex-for-oss/
codex-oss-commons,OpenAI,Codex for Open Source,OFFSET,Commons,FIRE_IF_ELIGIBLE,rolling,6 months ChatGPT Pro + API credits,actual displaced subscription/API spend,0.5-1.5,core maintainer + public repo,https://openai.com/form/codex-for-oss/
lambda-research,Lambda,Research Grant,OFFSET,Hardware Splicer|Citation Engine|Research Papers,FIRE_IF_NEEDED,rolling,up to US$5000 credits,actual displaced compute spend,1-2,real research compute need,https://lambda.ai/research
cohere-catalyst,Cohere Labs,Catalyst Grant,OFFSET,Public-Good|YZU|Research Papers,VERIFY,rolling,API/technical support,actual displaced API spend,1-3,academic/civic/public-benefit host,https://cohere.com/research/grants
gcp-trial,Google Cloud,Free Trial,OFFSET,Any Active Project,FIRE_IF_UNUSED,rolling,US$300 credit,actual displaced cloud spend,0.25-0.5,new-account eligibility,https://docs.cloud.google.com/free/docs/free-cloud-features
aws-activate,AWS,Activate Founders,OFFSET,Company Vehicle,HOLD,rolling,starts ~US$1000 credits,actual displaced AWS spend,1-2,company/startup vehicle,https://aws.amazon.com/startups/credits/
google-startups,Google Cloud,Google for Startups Cloud,OFFSET,Company Vehicle,HOLD,rolling,up to US$2000 starter,actual displaced GCP spend,1-2,company/startup eligibility,https://cloud.google.com/startup/benefits
ms-startups,Microsoft,Microsoft for Startups,OFFSET,Company Vehicle,HOLD,rolling,starter/scaling credits,actual displaced Azure spend,1-2,business verification,https://www.microsoft.com/en-us/startups
nvidia-inception,NVIDIA,Inception,OFFSET,Hardware Splicer|Cite,HOLD,rolling,benefits vary,actual displaced spend,1-2,incorporated startup,https://www.nvidia.com/en-us/startups/
startupterrace-hs,Startup Terrace,AI PoC,PILOT,Hardware Splicer,HOLD,rolling/current,up to US$10k cloud resources + industry access,actual PoC/compute value,4-8,company/startup vehicle,https://www.startupterrace.tw/en/cp.aspx?n=1811
tw-procurement-cite,Taiwan Startup Procurement,,PROCURE,Cite,HOLD,rolling,contract value varies,paid contract,3-8,company/vendor setup,https://startup.sme.gov.tw/spp/
tw-procurement-nocturnal,Taiwan Startup Procurement,,PROCURE,Nocturnal,HOLD,rolling,contract value varies,paid contract,3-8,company/vendor setup,https://startup.sme.gov.tw/spp/
tw-procurement-publicgood,Taiwan Startup Procurement,,PROCURE,Public-Good,HOLD,rolling,contract value varies,paid contract,3-8,company/vendor setup,https://startup.sme.gov.tw/spp/
yzu-competition-reimbursement,Yuan Ze University,Off-campus Academic Competition Subsidy,OFFSET,All Eligible Projects,VERIFY,post-event,NT$5k-20k domestic caps depending classification,eligible expense reimbursement,0.5-1.5,still-enrolled + classification + receipts,https://www.yzu.edu.tw/admin/st/index.php/tw/2016-03-25-05-42-29/2017-04-19-04-00-53
outbound-cite-eval,Manufactured Outbound,Cite Researcher Evaluation,PILOT,Cite,FIRE,rolling,NT$5k-20k test ask,NT$5k,1-2 per account,deployable candidate,internal
outbound-cite-lab,Manufactured Outbound,Cite Lab Deployment Support,PILOT,Cite,FIRE,rolling,NT$10k-50k test ask,NT$10k,2-4 per account,deployable/supportable candidate,internal
outbound-yzu-diagnostic,Manufactured Outbound,Research Workflow Diagnostic,SELL,YZU,FIRE_AFTER_RELEASE,rolling,NT$5k-30k test ask,NT$5k,2-3 per account,live case-study proof,internal
outbound-policy-sprint,Manufactured Outbound,Policy Evidence Sprint,SELL,Policy Lab,FIRE,rolling,NT$5k-30k test ask,NT$5k,2-4 per account,real bounded evaluation question,internal
outbound-nocturnal-pilot,Manufactured Outbound,Nocturnal Monitoring Pilot,PILOT,Nocturnal,FIRE,rolling,NT$5k-20k test ask,NT$5k,1-3 per account,cold-review comprehension signal,internal
outbound-hs-poc,Manufactured Outbound,HS Industrial Inspection PoC,PILOT,Hardware Splicer,FIRE_AFTER_EVIDENCE_GATE,rolling,NT$10k-50k test ask,NT$10k,3-6 per account,bounded evidence claim,internal
outbound-publicgood-pilot,Manufactured Outbound,Public-Good Coordination Pilot,PILOT,Public-Good,FIRE,rolling,NT$5k-30k test ask,NT$5k,2-4 per account,competent real operator,internal
outbound-commons-audit,Manufactured Outbound,Commons Evidence Audit,SELL,Commons,FIRE,rolling,NT$5k-20k test ask,NT$5k,2-3 per account,target evidence problem,internal
outbound-citation-review,Manufactured Outbound,Citation Engine Integration Review,SELL,Citation Engine,FIRE,rolling,NT$5k-30k test ask,NT$5k,2-4 per account,target provenance/authority pain,internal
outbound-sharpe-audit,Manufactured Outbound,Sharpe Research Engineering Audit,SELL,Sharpe Terminus,FIRE_SELECTIVELY,rolling,NT$5k-30k test ask,NT$5k,2-4 per account,no-performance-promises,internal
career-gogolook,Gogolook,Data Research Engineer,CAREER,Whole Portfolio,FIRE,rolling until filled,salary unknown,salary,1-2,role eligibility,https://jobs.lever.co/Gogolook/18b12699-5d93-443a-b1a0-6725cb496def
career-binance-agent,Binance,AI Agent Engineer,CAREER,Cite|YZU|Citation Engine,FIRE_SELECTIVELY,rolling until filled,compensation unknown,compensation,1-2,role eligibility,https://jobs.lever.co/binance/3a2ca7e0-e2c9-4248-b8fe-0de5d05dee1c
