id,lane,organization,opportunity,location,status,deadline_or_cadence,economic_band,compensation_evidence,fit,lead_assets,application_cost,blocking_unknown,next_action,source_url
job-binance-bap-agent,JOB,Binance Accelerator Program,AI Agent Engineer,Taipei / Asia Remote,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,VERY_STRONG,Cite|YZU|Citation Engine,LOW,graduate eligibility/start date,fire,https://jobs.lever.co/binance/?location=Asia
job-binance-bap-agent-quality,JOB,Binance Accelerator Program,Data Scientist - AI Agent Quality,Taipei / Asia Remote,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,VERY_STRONG,Cite|Citation Engine|Evaluation,LOW,exact quantitative requirements,fire,https://jobs.lever.co/binance?department=Engineering
job-binance-bap-applied-ds,JOB,Binance Accelerator Program,Applied Data Scientist,Taipei / Asia Remote,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,STRONG,Large Data|Finance|Python|Research,LOW,exact role fit,fire,https://jobs.lever.co/binance/?location=Asia
job-binance-bap-cv,JOB,Binance Accelerator Program,Computer Vision Engineer - Agentic AI,Taipei / Asia Remote,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Hardware Splicer|CV|Agents,LOW,CV depth and start timing,fire HS-led dossier,https://jobs.lever.co/binance?department=Engineering
job-binance-bap-onchain,JOB,Binance Accelerator Program,Research On-Chain Data Analyst,Taipei / Asia,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,STRONG,Finance|Blockchain RA|Large Data|Research Papers,LOW,exact current student/new-grad eligibility,fire,https://jobs.lever.co/binance?a=&commitment=Binance+Accelerator+Program
job-binance-bap-agent-infra,JOB,Binance Accelerator Program,Backend Engineer - AI Pro / Agent Infrastructure,Taipei / Asia Remote,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,STRONG,Cite|YZU|Citation Engine|Infrastructure,LOW,backend depth,fire if stack clears,https://jobs.lever.co/binance?department=Engineering
job-binance-bap-ai-research,JOB,Binance Accelerator Program,AI Research Scientist - LLM Reasoning & Post-Training,Taipei / Asia Remote,STRETCH_FIRE,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Cite|Citation Engine|Research Papers,LOW,formal ML/research depth,fire because application cost low,https://jobs.lever.co/binance/?location=Asia
job-google-applied-ai,JOB,Google Taiwan,Software Engineer - Applied AI Pixel,Banqiao,STRETCH_FIRE,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,PLAUSIBLE_STRETCH,Cite|YZU|AI Systems|Evaluation,MEDIUM,software interview bar,prepare technical interview and fire,https://www.google.com/about/careers/applications/jobs/results/
job-google-genai-agent,JOB,Google Taiwan,Generative AI Agent / Pixel Quality lane,Taiwan,STRETCH_FIRE,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,PLAUSIBLE_STRETCH,Cite|Citation Engine|Evaluation,MEDIUM,current requisition exactness,refresh board and fire when live,https://www.google.com/about/careers/applications/jobs/results/
job-google-ml-infra,JOB,Google Taiwan,ML Infrastructure / Cloud AI lane,Taiwan,WATCH,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,PLAUSIBLE_STRETCH,YZU|Citation Engine|Data Infrastructure,MEDIUM,systems interview depth,monitor and selectively fire,https://www.google.com/about/careers/applications/jobs/results/
job-nvidia-pcb-eda-ai,JOB,NVIDIA Taiwan,PCB Design EDA & AI / NCG lane,Taipei / Hsinchu,STRETCH_FIRE,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,PLAUSIBLE_STRETCH,Hardware Splicer|CV|Electronics,MEDIUM,EE/EDA credential depth,fire HS-led case study,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite
job-nvidia-ai-agent,JOB,NVIDIA Taiwan,AI Agent Development Engineer,Taiwan,WATCH,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,PLAUSIBLE_STRETCH,Cite|Citation Engine|Agents,MEDIUM,seniority,monitor less-senior variants,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite
job-nvidia-tensorrt,JOB,NVIDIA Taiwan,AI Computing / TensorRT-LLM Software Engineer,Taiwan,WATCH,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,WEAK_STRETCH,AI Systems|Python,MEDIUM,C++/CUDA systems depth,fire only if requisition bar plausible,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite
job-qualcomm-ai-ml,JOB,Qualcomm Taiwan,AI Machine Learning Software Engineer,Taipei / Hsinchu,STRETCH_FIRE,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,PLAUSIBLE_STRETCH,Hardware Splicer|AI Systems,MEDIUM,degree and embedded-depth screening,fire suitable no-experience requisition,https://careers.qualcomm.com/careers
job-qualcomm-cv,JOB,Qualcomm Taiwan,Computer Vision & Machine Learning Engineer,Hsinchu,STRETCH_FIRE,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,PLAUSIBLE_STRETCH,Hardware Splicer|CV,MEDIUM,CV specialization,fire HS-led,https://careers.qualcomm.com/careers
job-amd-ai-product,JOB,AMD Taiwan,AI / Product Engineering lanes,Hsinchu,WATCH,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,PLAUSIBLE_STRETCH,Hardware Splicer|AI Systems,MEDIUM,EE/CS credential filters,monitor suitable role,https://careers.amd.com/careers-home
job-microsoft-ai,JOB,Microsoft Taiwan,AI / Software Engineering lanes,Taipei,WATCH,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,PLAUSIBLE_STRETCH,Cite|YZU|Citation Engine,MEDIUM,current matching requisition,refresh monthly,https://jobs.careers.microsoft.com/global/en/search?q=AI&lc=Taiwan
job-gogolook-data-research,JOB,Gogolook,Data Research Engineer,Taipei,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,VERY_STRONG,Large Data|Research Papers|Python|Finance,LOW,total compensation,fire and establish comp early,https://jobs.lever.co/Gogolook
job-gogolook-ml,JOB,Gogolook,Machine Learning Engineer,Taipei,PRICE_DISCOVERY,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Cite|AI Systems|Python,LOW,degree/seniority details,fire if current requisition matches,https://jobs.lever.co/Gogolook
job-gogolook-credit,JOB,Gogolook,Credit Risk Data Analyst,Taipei,FIRE_NOW,ROLLING,UNKNOWN,UNDISCLOSED,STRONG,Finance|Data|Research,LOW,total compensation,fire finance/data dossier,https://jobs.lever.co/Gogolook
job-datamunger-ai-app,JOB,DataMunger / 數邁科技,AI Application Engineer,Taipei,FIRE_NOW,ROLLING,NT$1.2M-1.8M,VERIFIED_PUBLISHED,VERY_STRONG,Cite|YZU|Citation Engine|ETL,LOW,3+ years requirement,fire as serious floor test,https://www.104.com.tw/company/1a2x6bnp43
job-berry-senior-ml,JOB,Berry AI / 華捷智能,Senior Machine Learning Engineer,Taipei,STRETCH_FIRE,ROLLING,NT$1.4M-2.2M,VERIFIED_COMPANY_BOARD,STRONG,Hardware Splicer|CV|Edge AI,LOW,senior title vs no-exp wording,fire HS-led,https://www.104.com.tw/company/1a2x6bl1n1
job-berry-fullstack,JOB,Berry AI / 華捷智能,Senior Full-Stack Engineer,Taipei,SELECTIVE,ROLLING,NT$1.2M-2.0M,VERIFIED_PUBLISHED,PLAUSIBLE_STRETCH,YZU|Data Infrastructure|Deployment,LOW,full-stack depth,fire only if dossier strong,https://www.104.com.tw/company/1a2x6bl1n1
job-wanda-ml,JOB,WANDA AI,Machine Learning Engineer,Taipei,WATCH,ROLLING,NT$1.56M-2.16M,PREVIOUS_RESEARCH_VERIFY_CURRENT,PLAUSIBLE_STRETCH,AI Systems|CV|Python,LOW,current requisition,verify live before firing,
job-btse-ds,JOB,BTSE,Data Scientist / Senior Data Scientist,Taipei,WATCH,ROLLING,UNKNOWN,UNDISCLOSED,STRONG,Finance|Crypto|Data|Python,LOW,current requisition and seniority,refresh careers board,
job-mediatek-ai-app,JOB,MediaTek,AI Application Engineer,Hsinchu,PRICE_DISCOVERY,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Cite|YZU|Agents|Deployment,MEDIUM,2+ years and role-specific degree,fire only matching requisition,https://careers.mediatek.com
job-mediatek-cv,JOB,MediaTek,Machine Learning / Computer Vision Algorithm Engineer,Hsinchu,STRETCH_FIRE,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Hardware Splicer|CV,MEDIUM,formal ML/CV depth,fire HS-led selectively,https://careers.mediatek.com
job-mediatek-ai-eda,JOB,MediaTek,AI Coding Agent / AI for EDA,Hsinchu,WATCH,ROLLING,UNKNOWN,UNDISCLOSED,HARD_STRETCH,Cite|Hardware Splicer|Agents,MEDIUM,EE/CS degree language,apply only if degree not hard screen,https://careers.mediatek.com
job-synopsys-eda,JOB,Synopsys Taiwan,R&D / EDA / ML Software roles,Taipei / Zhubei,WATCH,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,HARD_STRETCH,Hardware Splicer|Python|Electronics,MEDIUM,EE/CS/C++ filters,monitor only credible requisitions,https://careers.synopsys.com/search-jobs
job-tsmc-ai,JOB,TSMC,AI for Manufacturing / AI Infrastructure lanes,Hsinchu / Taiwan,WATCH,ROLLING,UPPER_TAIL,UNDISCLOSED_ROLE_COMP,PLAUSIBLE_STRETCH,Hardware Splicer|Data Infrastructure|AI,MEDIUM,current requisition and degree filters,refresh quarterly,https://ro.careers.tsmc.com
job-trend-ai,JOB,Trend Micro AI Lab,AI Engineer / Data Scientist,Taipei,WATCH,ROLLING,UNKNOWN,UNDISCLOSED,SENIORITY_STRETCH,Cite|Evaluation|AI Systems,LOW,4+ years on some roles,monitor lower-seniority roles,https://trendmicro.wd3.myworkdayjobs.com/External
job-appier-ds,JOB,Appier,Data Scientist / Analytics,Taipei,WATCH,ROLLING,UNKNOWN,UNDISCLOSED,SENIORITY_STRETCH,Data|AI|Research,LOW,5+ years on observed role,monitor junior/research roles,https://www.appier.com/en/careers
job-ikala-ai,JOB,iKala,AI Lab ML / Applied AI,Taipei,WATCH,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Cite|AI Systems|Data,LOW,current seniority,refresh careers board,https://ikala.tv/careers
job-delta-ai,JOB,Delta Electronics,AI Scientist / ML validation,Taiwan,WATCH,ROLLING,UNKNOWN,UNDISCLOSED,PLAUSIBLE_STRETCH,Hardware Splicer|AI Systems,LOW,current requisition,refresh board,https://careers.deltaww.com
job-jane-street-hk,JOB,Jane Street,Quantitative Researcher,Hong Kong,STRETCH_FIRE,ROLLING,VERY_HIGH,UNDISCLOSED_ROLE_COMP,HIGH_STRETCH,Finance|Sharpe|Research|Python,MEDIUM,extreme quant interview bar,fire as high-upside stretch,https://www.janestreet.com/join-jane-street/open-roles/
job-qrt-grad,JOB,Qube Research & Technologies,Graduate Quant Research / Trading,Hong Kong / Singapore,STRETCH_FIRE,ROLLING,VERY_HIGH,UNDISCLOSED_ROLE_COMP,HIGH_STRETCH,Finance|Sharpe|Python|Research,MEDIUM,quant interview and visa,fire suitable graduate requisition,https://www.qube-rt.com/careers/
job-optiver-apac,JOB,Optiver,APAC Graduate Quant / Trading,APAC,WATCH,SEASONAL,VERY_HIGH,UNDISCLOSED_ROLE_COMP,HIGH_STRETCH,Finance|Sharpe|Quant,MEDIUM,current cycle and visa,monitor graduate cycle,https://optiver.com/working-at-optiver/career-opportunities/
job-citadel-apac,JOB,Citadel / Citadel Securities,APAC Quant Research lanes,APAC,WATCH,ROLLING,VERY_HIGH,UNDISCLOSED_ROLE_COMP,HIGH_STRETCH,Finance|Sharpe|Research,MEDIUM,current matching requisition,monitor,https://www.citadel.com/careers/open-opportunities/
job-imc-apac,JOB,IMC,APAC Graduate Quant / Research,APAC,WATCH,SEASONAL,VERY_HIGH,UNDISCLOSED_ROLE_COMP,HIGH_STRETCH,Finance|Sharpe|Python,MEDIUM,current cycle and location,monitor,https://www.imc.com/ap/careers/jobs/
phd-usn-ai-business,PhD,University of South-Eastern Norway,AI-based Business Model Innovation in Incumbent Industries,Norway,FIRE_NOW,2026-08-31,SALARIED,~NOK550.8k_RESEARCH,STRONG,Policy Lab|Cite|Finance|AI Systems,MEDIUM,exact outside-work/IP terms,prepare immediately,https://www.usn.no/english/celect/vacancies
phd-usn-maritime-ai,PhD,University of South-Eastern Norway,AI Industrial Solutions for Sustainable Maritime Operations,Norway,STRETCH_FIRE,2026-08-31,SALARIED,VERIFY_EXACT_POSTING,PLAUSIBLE_STRETCH,Hardware Splicer|AI Systems,MEDIUM,technical scope fit,fire only if requirements clear,https://www.usn.no/english/vacancies/
phd-usn-political-economy,PhD,University of South-Eastern Norway,Political Economy and Management,Norway,FIRE_NOW,2026-08-31,SALARIED,VERIFY_EXACT_POSTING,STRONG,Finance|Policy Lab|Research Papers,MEDIUM,project-specific proposal fit,prepare and fire,https://www.usn.no/english/vacancies/
phd-usn-audit-ai,PhD,University of South-Eastern Norway,AI transformation of auditing sector,Norway,FIRE_SOON,2026-10-16,SALARIED,VERIFY_EXACT_POSTING,VERY_STRONG,Finance|Policy Lab|Citation Engine|AI Systems,MEDIUM,outside-work/IP terms,build tailored research proposal,https://www.usn.no/english/vacancies/
phd-tudelft-business-software,PhD,TU Delft,Realising Business Impact from Construction Software,Delft,FIRE_NOW,2026-09-08,EUR3059-3881_month,VERIFIED_PUBLISHED,STRONG,YZU|Policy Lab|Technology Management,MEDIUM,commercial freedom/IP terms,fire interdisciplinary dossier,https://careers.tudelft.nl/job/Delft-PhD-Position-Realising-Business-Impact-from-Construction-Software-2628-CD/1366527757/
phd-vu-social-data,PhD,Vrije Universiteit Amsterdam,Social Data Science,Amsterdam,FIRE_NOW,2026-09-14,FUNDED_4YR,VERIFIED_CURRENT,VERY_STRONG,Nocturnal|Policy Lab|Finance|Large Data,LOW,outside work/IP terms,fire CV + <=2-page letter,https://workingat.vu.nl/vacancies/phd-position-in-social-data-science-amsterdam-1330114
phd-vu-atlantis,PhD,Vrije Universiteit Amsterdam,ATLANTIS Competition Law & AI - computational track,Amsterdam,FIRE_NOW,2026-09-15,FUNDED_4YR,VERIFIED_CURRENT,PLAUSIBLE_STRETCH,Policy Lab|Citation Engine|Cite|Evaluation,MEDIUM,CS/data-science degree preference,fire because cost bounded,https://workingat.vu.nl/vacancies/three-fully-funded-phd-positions-in-competition-law-and-ai-amsterdam-1307827
phd-nhh-finance,PhD,NHH Norwegian School of Economics,Finance PhD Research Scholar,Bergen,FIRE_NOW,2026-09-15,NOK570k_annual_from_Aug2027,VERIFIED_PUBLISHED,VERY_STRONG,Finance|Sharpe|Research Papers,MEDIUM,outside paid work requires approval,fire; master can finish before start,https://nhh.no/en/study-programmes/phd-programme-at-nhh/vacant-phd-positions/
phd-nhh-bms,PhD,NHH Norwegian School of Economics,Business & Management Science PhD Research Scholar,Bergen,FIRE_NOW,2026-09-15,NOK570k_annual_from_Aug2027,VERIFIED_PUBLISHED,STRONG,Finance|Data|AI Systems|Decision Research,MEDIUM,research-proposal fit,fire,https://nhh.no/en/study-programmes/phd-programme-at-nhh/vacant-phd-positions/
phd-nhh-econ,PhD,NHH Norwegian School of Economics,Economics PhD Research Scholar,Bergen,SELECTIVE_FIRE,2026-09-15,NOK570k_annual_from_Aug2027,VERIFIED_PUBLISHED,PLAUSIBLE_STRETCH,Finance|Empirical Research,MEDIUM,econ theory/method fit,fire only with coherent proposal,https://nhh.no/en/study-programmes/phd-programme-at-nhh/vacant-phd-positions/
phd-nhh-strategy,PhD,NHH Norwegian School of Economics,Strategy & Management PhD Research Scholar,Bergen,SELECTIVE_FIRE,2026-09-15,NOK570k_annual_from_Aug2027,VERIFIED_PUBLISHED,PLAUSIBLE_STRETCH,Policy Lab|AI Systems|Management,MEDIUM,current project topic,fire only if topic maps,https://nhh.no/en/study-programmes/phd-programme-at-nhh/vacant-phd-positions/
phd-nhh-aal,PhD,NHH Norwegian School of Economics,Accounting Auditing & Law PhD Research Scholar,Bergen,SELECTIVE_FIRE,2026-09-15,NOK570k_annual_from_Aug2027,VERIFIED_PUBLISHED,STRONG,Finance|Policy Lab|AI Governance,MEDIUM,project topic,hydrate and fire if AI/audit fit,https://nhh.no/en/study-programmes/phd-programme-at-nhh/vacant-phd-positions/
phd-nhh-main-2027,PhD,NHH Norwegian School of Economics,Main 2027 PhD admission round,Bergen,WATCH,2027-01-15,NOK570k_annual_baseline,VERIFIED_PROGRAM,STRONG,Finance|Research|AI Systems,MEDIUM,November vacancy set,refresh mid-November 2026,https://www.nhh.no/en/study-programmes/phd-programme-at-nhh/admission/
phd-nycu-iais,PhD,NYCU IAIS,Institute of Intelligent Systems PhD,Hsinchu,HIGH_PRIORITY_WATCH,CALL_NOT_YET_VERIFIED,NT$40k_month_first24_then_up_to_30k+>=20k_advisor,VERIFIED_SCHOLARSHIP_RULES,VERY_STRONG,Cite|YZU|Citation Engine|Hardware Splicer,MEDIUM,116 admission dates + founder compensation + pre-existing IP,refresh admissions twice monthly and obtain written commercial terms,https://iais.nycu.edu.tw/en/scholarship.html
phd-nycu-ms,PhD,NYCU,Management Science PhD,Hsinchu,WATCH,CYCLE_NOT_YET_VERIFIED,FUNDING_VERIFY,UNKNOWN,STRONG,Finance|Data|Policy Lab,MEDIUM,funding/advisor package,refresh 116 call,
phd-nycu-imf,PhD,NYCU,Information Management & Finance / Finance PhD,Hsinchu,WATCH,CYCLE_NOT_YET_VERIFIED,FUNDING_VERIFY,UNKNOWN,STRONG,Finance|Sharpe|Research Papers,MEDIUM,admission/funding specifics,refresh 116 call,
phd-nycu-ibm,PhD,NYCU,Institute of Business & Management PhD,Taipei / Hsinchu,WATCH,CYCLE_NOT_YET_VERIFIED,FUNDING_VERIFY,UNKNOWN,PLAUSIBLE,Policy Lab|Technology Management|Finance,MEDIUM,advisor/funding,refresh 116 call,
phd-ntu-im,PhD,National Taiwan University,Information Management PhD,Taipei,WATCH,CYCLE_NOT_YET_VERIFIED,SELECTIVE_SCHOLARSHIP,VERIFIED_PROGRAM,STRONG,Cite|YZU|Citation Engine|Research Papers,HIGH,116 call + funding,prepare 4k-6k research proposal shell,https://management.ntu.edu.tw/IM/admission/phd
phd-nccu-tiipm,PhD,National Chengchi University,Technology Innovation & IP Management PhD,Taipei,HIGH_PRIORITY_WATCH,CYCLE_NOT_YET_VERIFIED,FUNDING_VERIFY,UNKNOWN,VERY_STRONG,Policy Lab|Citation Engine|AI Systems|Commercialization,MEDIUM,116 call + funding + advisor,refresh official call,https://tiipm.nccu.edu.tw
phd-nccu-mis,PhD,National Chengchi University,MIS PhD,Taipei,HIGH_PRIORITY_WATCH,CYCLE_NOT_YET_VERIFIED,FUNDING_VERIFY,UNKNOWN,VERY_STRONG,Cite|YZU|Citation Engine|Data,MEDIUM,116 call + funding,refresh official call,https://mis2.nccu.edu.tw
phd-ncu-im,PhD,National Central University,Information Management PhD,Taoyuan,WATCH,CYCLE_NOT_YET_VERIFIED,FUNDING_VERIFY,UNKNOWN,STRONG,Cite|YZU|Data|AI Systems,MEDIUM,116 call + funding/advisor,refresh,
phd-ncu-finance,PhD,National Central University,Finance PhD,Taoyuan,WATCH,CYCLE_NOT_YET_VERIFIED,FUNDING_VERIFY,UNKNOWN,STRONG,Finance|Sharpe|Papers,MEDIUM,116 call + funding,refresh,
phd-nthu-tm,PhD,National Tsing Hua University,Technology Management PhD,Hsinchu,WATCH,CYCLE_NOT_YET_VERIFIED,FUNDING_VERIFY,UNKNOWN,STRONG,Policy Lab|AI Systems|Technology Management,MEDIUM,116 call/funding,refresh,
phd-ntust-im,PhD,National Taiwan University of Science and Technology,Information Management PhD,Taipei,WATCH,CYCLE_NOT_YET_VERIFIED,FUNDING_VERIFY,UNKNOWN,STRONG,Cite|YZU|Citation Engine,MEDIUM,116 call/funding,refresh,
phd-yzu-management,PhD,Yuan Ze University,Management / Finance doctorate,Taoyuan,BACKSTOP,CYCLE_NOT_YET_VERIFIED,LOWER_FUNDING_EXPECTED,VERIFY_CURRENT,STRONG_ACADEMIC_FIT,Existing YZU Research|Finance,LOW,exact package and freedom,only elevate if economics materially improve,https://www.cm.yzu.edu.tw/en/
phd-uio-tik,PhD,University of Oslo / TIK,AI / Innovation Studies vacancy family,Oslo,WATCH,VACANCY_DRIVEN,SALARIED,RECENT_FIT_EVIDENCE,VERY_STRONG,Policy Lab|AI Systems|Python|Research,LOW,next matching vacancy,monitor Jobbnorge/UiO,
phd-ntnu-responsible-ai,PhD,NTNU,Responsible AI / Information Systems vacancy family,Norway,WATCH,VACANCY_DRIVEN,SALARIED,RECENT_FIT_EVIDENCE,STRONG,Policy Lab|Citation Engine|AI Systems,LOW,next matching vacancy,monitor,
phd-uia-is,PhD,University of Agder,Information Systems / AI vacancy family,Norway,WATCH,VACANCY_DRIVEN,SALARIED,RECENT_FIT_EVIDENCE,STRONG,Cite|YZU|Policy Lab,LOW,next matching vacancy,monitor,
phd-bi-norway,PhD,BI Norwegian Business School,Finance / Strategy / Innovation funded PhD vacancies,Oslo,WATCH,VACANCY_DRIVEN,FUNDED_EMPLOYMENT_MODEL,VERIFIED_PROGRAM_MODEL,STRONG,Finance|Policy Lab|Research,MEDIUM,current vacancy set,monitor autumn calls,https://www.bi.no/en/programmes-and-individual-courses/phd/how-to-apply/
phd-tue-is,PhD,Eindhoven University of Technology,Information Systems / trustworthy AI vacancy family,Eindhoven,WATCH,VACANCY_DRIVEN,SALARIED,RECENT_FIT_EVIDENCE,PLAUSIBLE_STRETCH,Cite|Citation Engine|Evaluation,LOW,degree-field match,monitor AcademicTransfer,
phd-tudelft-digital-trust,PhD,TU Delft,Digital Trust,Delft,KILL,2026-09-06,SALARIED,VERIFIED_CURRENT,HARD_BLOCKER,Citation Engine|Policy Lab,LOW,fluent Dutch required,do not fire unless language requirement changes,https://careers.tudelft.nl/go/All-jobs/9021002/
